iter	Passed	Remaining
237	2685	8597
238	2695	8581
239	2704	8565
240	2715	8551
241	2724	8532
242	2735	8522
243	2745	8507
244	2754	8489
245	2765	8476
246	2775	8460
247	2785	8445
248	2794	8427
249	2805	8415
250	2815	8403
251	2826	8390
252	2837	8378
253	2849	8367
254	2856	8346
255	2868	8337
256	2879	8325
257	2890	8311
258	2899	8294
259	2907	8275
260	2920	8268
261	2930	8253
262	2939	8238
263	2949	8222
264	2959	8209
265	2971	8199
266	2979	8180
267	2988	8163
268	2999	8151
269	3010	8140
270	3021	8128
271	3031	8114
272	3043	8105
273	3057	8102
274	3069	8093
275	3084	8089
276	3093	8073
277	3103	8058
278	3113	8044
279	3124	8034
280	3134	8019
281	3145	8008
282	3156	7997
283	3167	7985
284	3177	7971
285	3188	7960
286	3198	7946
287	3208	7931
288	3218	7917
289	3227	7902
290	3240	7896
291	3253	7887
292	3262	7873
293	3273	7860
294	3285	7852
295	3299	7846
296	3310	7836
297	3323	7828
298	3332	7813
299	3342	7800
300	3353	7787
301	3365	7778
302	3375	7765
303	3386	7753
304	3398	7743
305	3408	7731
306	3418	7716
307	3432	7711
308	3442	7698
309	3452	7685
310	3467	7681
311	3479	7672
312	3491	7662
313	3501	7649
314	3512	7637
315	3522	7625
316	3532	7611
317	3541	7595
318	3551	7581
319	3564	7573
320	3573	7558
321	3584	7547
322	3595	7536
323	3607	7526
324	3617	7512
325	3629	7504
326	3649	7511
327	3660	7499
328	3670	7486
329	3680	7471
330	3692	7463
331	3705	7455
332	3719	7450
333	3733	7444
334	3747	7438
335	3757	7425
336	3769	7416
337	3788	7420
338	3808	7425
339	3818	7412
340	3831	7404
341	3850	7408
342	3875	7423
343	3887	7413
344	3899	7402
345	3910	7391
346	3922	7381
347	3936	7376
348	3953	7374
349	3966	7366
350	3980	7359
351	3989	7344
352	4000	7333
353	4014	7326
354	4026	7315
355	4036	7301
356	4048	7291
357	4057	7275
358	4070	7267
359	4081	7256
360	4091	7242
361	4101	7228
362	4110	7213
363	4120	7200
364	4131	7187
365	4139	7170
366	4151	7159
367	4160	7145
368	4171	7133
369	4183	7122
370	4192	7108
371	4201	7093
372	4213	7082
373	4222	7068
374	4232	7054
375	4240	7037
376	4252	7028
377	4264	7017
378	4274	7004
379	4285	6992
380	4295	6979
381	4306	6966
382	4319	6959
383	4331	6948
384	4340	6933
385	4351	6921
386	4363	6910
387	4385	6916
388	4395	6904
389	4407	6894
390	4417	6880
391	4427	6867
392	4437	6853
393	4446	6839
394	4455	6823
395	4465	6811
396	4474	6796
397	4484	6782
398	4492	6767
399	4502	6754
400	4513	6742
401	4524	6729
402	4534	6717
403	4547	6708
404	4556	6694
405	4564	6678
406	4573	6664
407	4584	6651
408	4591	6635
409	4600	6620
410	4608	6603
411	4619	6592
412	4627	6576
413	4636	6563
414	4645	6548
415	4654	6533
416	4666	6524
417	4680	6517
418	4690	6504
419	4704	6496
420	4717	6488
421	4729	6477
422	4740	6465
423	4751	6454
424	4762	6442
425	4773	6431
426	4782	6418
427	4791	6403
428	4806	6396
429	4819	6388
430	4832	6379
431	4842	6366
432	4854	6357
433	4867	6347
434	4876	6333
435	4886	6320
436	4895	6307
437	4905	6294
438	4920	6288
439	4931	6275
440	4943	6266
441	4953	6253
442	4963	6240
443	4972	6226
444	4983	6215
445	4991	6200
446	5000	6186
447	5009	6172
448	5018	6158
449	5028	6145
450	5038	6132
451	5050	6123
452	5061	6112
453	5073	6101
454	5081	6086
455	5093	6076
456	5104	6065
457	5114	6052
458	5125	6041
459	5136	6030
460	5147	6018
461	5157	6006
462	5167	5993
463	5182	5986
464	5198	5980
465	5218	5980
466	5236	5976
467	5250	5968
468	5259	5955
469	5270	5943
470	5281	5932
471	5292	5920
472	5304	5909
473	5317	5900
474	5331	5892
475	5341	5880
476	5354	5870
477	5366	5860
478	5376	5847
479	5399	5848
480	5419	5847
481	5430	5836
482	5444	5828
483	5459	5820
484	5471	5810
485	5487	5803
486	5504	5798
487	5514	5786
488	5525	5773
489	5533	5759
490	5542	5745
491	5550	5731
492	5561	5718
493	5571	5706
494	5579	5691
495	5587	5677
496	5596	5664
497	5605	5650
498	5615	5638
499	5626	5626
500	5634	5612
501	5645	5600
502	5653	5585
503	5661	5571
504	5671	5559
505	5679	5545
506	5689	5532
507	5699	5520
508	5709	5507
509	5718	5494
510	5727	5480
511	5736	5467
512	5744	5453
513	5768	5453
514	5777	5440
515	5786	5427
516	5794	5413
517	5802	5399
518	5810	5385
519	5822	5375
520	5833	5362
521	5846	5353
522	5857	5342
523	5870	5333
524	5882	5322
525	5891	5308
526	5903	5298
527	5913	5285
528	5927	5277
529	5960	5286
530	5985	5286
531	6004	5282
532	6018	5273
533	6038	5269
534	6048	5256
535	6065	5250
536	6079	5241
537	6089	5229
538	6100	5217
539	6112	5206
540	6124	5196
541	6135	5184
542	6147	5173
543	6162	5166
544	6174	5154
545	6185	5143
546	6205	5138
547	6225	5134
548	6237	5124
549	6252	5115
550	6261	5102
551	6272	5090
552	6280	5076
553	6293	5066
554	6304	5054
555	6313	5041
556	6323	5029
557	6333	5016
558	6342	5003
559	6355	4993
560	6366	4981
561	6380	4972
562	6390	4960
563	6402	4949
564	6415	4939
565	6429	4930
566	6440	4918
567	6449	4905
568	6463	4896
569	6475	4885
570	6486	4873
571	6494	4859
572	6505	4848
573	6518	4837
574	6531	4827
575	6544	4817
576	6555	4805
577	6567	4794
578	6576	4781
579	6584	4767
580	6593	4754
581	6600	4740
582	6610	4728
583	6619	4715
584	6629	4703
585	6640	4691
586	6650	4679
587	6660	4666
588	6670	4654
589	6681	4643
590	6689	4629
591	6699	4616
592	6713	4607
593	6723	4595
594	6731	4581
595	6742	4570
596	6750	4556
597	6761	4545
598	6772	4533
599	6781	4521
600	6789	4507
601	6796	4493
602	6807	4481
603	6817	4469
604	6825	4456
605	6834	4443
606	6843	4430
607	6852	4418
608	6862	4406
609	6871	4393
610	6883	4382
611	6895	4371
612	6904	4358
613	6913	4345
614	6922	4333
615	6932	4321
616	6942	4309
617	6950	4296
618	6958	4283
619	6968	4270
620	6977	4258
621	6986	4245
622	6996	4233
623	7005	4221
624	7014	4208
625	7024	4196
626	7032	4183
627	7043	4172
628	7051	4158
629	7060	4146
630	7070	4134
631	7080	4122
632	7089	4110
633	7098	4097
634	7109	4086
635	7119	4074
636	7129	4062
637	7139	4050
638	7146	4037
639	7157	4026
640	7166	4013
641	7175	4001
642	7183	3988
643	7193	3976
644	7201	3963
645	7210	3951
646	7220	3939
647	7231	3928
648	7242	3917
649	7252	3905
650	7260	3892
651	7271	3881
652	7279	3868
653	7288	3855
654	7297	3843
655	7305	3830
656	7315	3819
657	7323	3806
658	7334	3795
659	7342	3782
660	7351	3770
661	7360	3757
662	7369	3745
663	7380	3734
664	7390	3723
665	7402	3712
666	7411	3700
667	7420	3688
668	7431	3676
669	7441	3665
670	7449	3652
671	7459	3640
672	7469	3629
673	7477	3616
674	7486	3604
675	7495	3592
676	7503	3579
677	7512	3567
678	7521	3555
679	7529	3543
680	7538	3531
681	7548	3519
682	7557	3507
683	7566	3495
684	7574	3483
685	7584	3471
686	7592	3459
687	7600	3446
688	7608	3434
689	7618	3422
690	7626	3410
691	7635	3398
692	7646	3387
693	7655	3375
694	7664	3363
695	7672	3351
696	7679	3338
697	7687	3326
698	7694	3313
699	7702	3301
700	7710	3288
701	7718	3276
702	7725	3263
703	7732	3250
704	7739	3238
705	7749	3227
706	7756	3214
707	7766	3203
708	7775	3191
709	7783	3179
710	7791	3166
711	7799	3155
712	7808	3142
713	7816	3130
714	7824	3118
715	7833	3106
716	7863	3103
717	7884	3096
718	7904	3089
719	7917	3078
720	7931	3069
721	7942	3058
722	7951	3046
723	7961	3035
724	7974	3024
725	7989	3015
726	8001	3004
727	8009	2992
728	8019	2981
729	8028	2969
730	8037	2957
731	8046	2945
732	8053	2933
733	8063	2922
734	8071	2910
735	8079	2898
736	8089	2886
737	8100	2875
738	8113	2865
739	8122	2853
740	8133	2842
741	8142	2831
742	8175	2827
743	8194	2819
744	8221	2814
745	8241	2805
746	8253	2795
747	8265	2784
748	8275	2773
749	8283	2761
750	8292	2749
751	8301	2737
752	8309	2725
753	8319	2714
754	8328	2702
755	8336	2690
756	8346	2679
757	8356	2667
758	8366	2656
759	8375	2645
760	8385	2633
761	8394	2621
762	8405	2610
763	8419	2600
764	8430	2589
765	8443	2579
766	8450	2567
767	8460	2555
768	8468	2543
769	8477	2532
770	8485	2520
771	8495	2509
772	8504	2497
773	8512	2485
774	8521	2474
775	8530	2462
776	8538	2450
777	8548	2439
778	8556	2427
779	8564	2415
780	8575	2404
781	8585	2393
782	8595	2382
783	8607	2371
784	8615	2359
785	8625	2348
786	8634	2337
787	8643	2325
788	8654	2314
789	8661	2302
790	8671	2291
791	8679	2279
792	8687	2267
793	8695	2256
794	8706	2245
795	8714	2233
796	8724	2222
797	8733	2210
798	8742	2199
799	8750	2187
800	8759	2176
801	8767	2164
802	8776	2153
803	8786	2141
804	8794	2130
805	8803	2118
806	8811	2107
807	8820	2096
808	8827	2084
809	8835	2072
810	8845	2061
811	8853	2049
812	8860	2037
813	8868	2026
814	8877	2015
815	8885	2003
816	8893	1992
817	8902	1980
818	8911	1969
819	8919	1957
820	8928	1946
821	8936	1935
822	8944	1923
823	8953	1912
824	8962	1901
825	8973	1890
826	8984	1879
827	8992	1868
828	9001	1856
829	9009	1845
830	9017	1833
831	9027	1822
832	9036	1811
833	9044	1800
834	9053	1789
835	9062	1777
836	9070	1766
837	9078	1755
838	9086	1743
839	9094	1732
840	9102	1720
841	9110	1709
842	9118	1698
843	9127	1687
844	9135	1675
845	9142	1664
846	9150	1652
847	9159	1641
848	9166	1630
849	9175	1619
850	9184	1608
851	9193	1597
852	9201	1585
853	9211	1574
854	9219	1563
855	9229	1552
856	9237	1541
857	9246	1530
858	9254	1519
859	9262	1507
860	9270	1496
861	9279	1485
862	9288	1474
863	9296	1463
864	9305	1452
865	9315	1441
866	9324	1430
867	9332	1419
868	9341	1408
869	9351	1397
870	9360	1386
871	9371	1375
872	9380	1364
873	9390	1353
874	9398	1342
875	9406	1331
876	9414	1320
877	9424	1309
878	9433	1298
879	9441	1287
880	9450	1276
881	9460	1265
882	9467	1254
883	9475	1243
884	9484	1232
885	9492	1221
886	9501	1210
887	9509	1199
888	9520	1188
889	9529	1177
890	9539	1167
891	9547	1155
892	9556	1145
893	9566	1134
894	9575	1123
895	9584	1112
896	9592	1101
897	9601	1090
898	9608	1079
899	9615	1068
900	9624	1057
901	9633	1046
902	9642	1035
903	9651	1024
904	9658	1013
905	9667	1003
906	9675	992
907	9685	981
908	9692	970
909	9702	959
910	9709	948
911	9718	937
912	9726	926
913	9734	915
914	9741	904
915	9749	894
916	9758	883
917	9775	873
918	9786	862
919	9795	851
920	9806	841
921	9815	830
922	9823	819
923	9831	808
924	9840	797
925	9850	787
926	9859	776
927	9867	765
928	9875	754
929	9883	743
930	9891	733
931	9900	722
932	9908	711
933	9915	700
934	9924	689
935	9932	679
936	9940	668
937	9954	657
938	9967	647
939	9977	636
940	9988	626
941	9997	615
942	10008	604
943	10018	594
944	10028	583
945	10041	573
946	10053	562
947	10061	551
948	10072	541
949	10082	530
950	10097	520
951	10113	509
952	10126	499
953	10139	488
954	10157	478
955	10170	468
956	10182	457
957	10197	447
958	10209	436
959	10223	425
960	10237	415
961	10248	404
962	10261	394
963	10275	383
964	10287	373
965	10299	362
966	10310	351
967	10323	341
968	10336	330
969	10346	320
970	10357	309
971	10368	298
972	10380	288
973	10392	277
974	10405	266
975	10420	256
976	10435	245
977	10449	235
978	10464	224
979	10477	213
980	10488	203
981	10497	192
982	10509	181
983	10526	171
984	10537	160
985	10550	149
986	10564	139
987	10577	128
988	10591	117
989	10603	107
990	10616	96
991	10631	85
992	10645	75
993	10659	64
994	10674	53
995	10687	42
996	10701	32
997	10717	21
998	10729	10
999	10739	0
