iter	Logloss
0	0.668426961
1	0.6483149297
2	0.6290233117
3	0.6121873567
4	0.595203684
5	0.582317128
6	0.5690641037
7	0.5568963978
8	0.5464879083
9	0.537612396
10	0.5292190553
11	0.5209464499
12	0.513972281
13	0.5072807994
14	0.5007374129
15	0.4953250934
16	0.4901367089
17	0.4840284234
18	0.4789085615
19	0.473269991
20	0.4678233565
21	0.4638562348
22	0.4594089943
23	0.4557674997
24	0.4522588631
25	0.4489151783
26	0.4452725463
27	0.4424063048
28	0.4397999053
29	0.4373470632
30	0.4342681676
31	0.4312703345
32	0.4286979062
33	0.4252364535
34	0.4232648262
35	0.4211886782
36	0.4192286334
37	0.4171834842
38	0.415131685
39	0.4135071147
40	0.4110297114
41	0.4094053954
42	0.4077095386
43	0.4059054539
44	0.4042581779
45	0.4023071602
46	0.4008140903
47	0.3991732636
48	0.3977995651
49	0.3959976914
50	0.3945082902
51	0.3931879039
52	0.3920383641
53	0.3907307813
54	0.3893044403
55	0.3878903442
56	0.3863896842
57	0.3851369854
58	0.3839765062
59	0.3823550512
60	0.3810434922
61	0.3798311502
62	0.3787148699
63	0.3774195098
64	0.3766507575
65	0.3754997316
66	0.3744401037
67	0.3736234732
68	0.3725266402
69	0.3716841389
70	0.3707900302
71	0.3699036262
72	0.3686152513
73	0.367552604
74	0.3666378168
75	0.3657722751
76	0.3650340074
77	0.3642495859
78	0.363515287
79	0.3621385462
80	0.3612645367
81	0.3605469848
82	0.3599165226
83	0.3590580112
84	0.3582997601
85	0.3570035393
86	0.3562575659
87	0.3556385009
88	0.3549539016
89	0.35417388
90	0.3534573259
91	0.352809471
92	0.3521198974
93	0.3514264049
94	0.3507315507
95	0.350101794
96	0.3491647131
97	0.3485945791
98	0.3479156763
99	0.3473483218
100	0.3466748962
101	0.3460664434
102	0.3455167569
103	0.344400422
104	0.3437404975
105	0.3432400625
106	0.3426310904
107	0.342138802
108	0.3408221595
109	0.3402329396
110	0.3397148822
111	0.339147606
112	0.338573881
113	0.3380847144
114	0.3375557567
115	0.3369569931
116	0.3364348957
117	0.3359339795
118	0.3354096551
119	0.3348876339
120	0.3343279226
121	0.3334218394
122	0.3329282272
123	0.3324988936
124	0.3319832321
125	0.3315456679
126	0.330852178
127	0.3303817791
128	0.3296868593
129	0.3291227912
130	0.3287366902
131	0.328313129
132	0.3276585379
133	0.3268175024
134	0.3264656966
135	0.3261404817
136	0.3255922836
137	0.3248986566
138	0.324470936
139	0.3240445013
140	0.3236915054
141	0.3233238775
142	0.3229976221
143	0.3226575728
144	0.3223049045
145	0.3220001382
146	0.321639376
147	0.3211339672
148	0.3207973858
149	0.3204623203
150	0.3201457741
151	0.3195548087
152	0.3192108859
153	0.3189298594
154	0.3186964241
155	0.3184037327
156	0.3179376819
157	0.3173579847
158	0.3170480105
159	0.316686055
160	0.3163291398
161	0.3159502991
162	0.3154704252
163	0.3151387688
164	0.3149749565
165	0.3147416095
166	0.3144875072
167	0.313931361
168	0.3136247057
169	0.3132628718
170	0.3128971927
171	0.3125569168
172	0.312316268
173	0.3121089615
174	0.3115409531
175	0.3112084703
176	0.3109185896
177	0.3105996926
178	0.3102697195
179	0.3098929459
180	0.3095873365
181	0.3093071885
182	0.3090059209
183	0.3087056994
184	0.3084427602
185	0.307999917
186	0.3077230416
187	0.3074003835
188	0.307217649
189	0.3069981664
190	0.3067531473
191	0.3065620093
192	0.3063739564
193	0.3060173378
194	0.3057375716
195	0.3055011459
196	0.3052960532
197	0.3050952218
198	0.3046382808
199	0.3043511859
200	0.3041454458
201	0.303836316
202	0.3035884311
203	0.303203518
204	0.3029605866
205	0.3026737777
206	0.3024394497
207	0.3022348507
208	0.3019236307
209	0.3016736934
210	0.3013068186
211	0.3010724404
212	0.3007578817
213	0.3004633424
214	0.3001943352
215	0.2999935804
216	0.2997595855
217	0.2995099229
218	0.2992370208
219	0.298944181
220	0.2984951895
221	0.2982453575
222	0.2980043691
223	0.2977610136
224	0.2975390711
225	0.2971845312
226	0.2968890618
227	0.2966349342
228	0.2963933225
229	0.2960657937
230	0.2958662701
231	0.2956180604
232	0.2954274634
233	0.2951064495
234	0.2948633898
235	0.2946226286
236	0.2944196654
237	0.2941936795
238	0.2937868334
239	0.2933906735
240	0.293175819
241	0.2929135872
242	0.2927389997
243	0.2924909566
244	0.2922466274
245	0.2920025265
246	0.2916449151
247	0.2914473778
248	0.2912854755
249	0.2910688389
250	0.2908711346
251	0.2906195213
252	0.2903416532
253	0.2901680887
254	0.2900013701
255	0.2897578885
256	0.2895295317
257	0.2892730484
258	0.2890685679
259	0.2889626
260	0.2887809227
261	0.2885859394
262	0.2884232317
263	0.2882138469
264	0.2879138389
265	0.2876592909
266	0.2874921202
267	0.2873175981
268	0.2869599314
269	0.2866850216
270	0.2863997431
271	0.2861864035
272	0.2859206572
273	0.2856613958
274	0.285416134
275	0.2851224445
276	0.2849452724
277	0.2847115807
278	0.2844372976
279	0.2841562874
280	0.283954239
281	0.2837246113
282	0.2835487783
283	0.2833387335
284	0.283119352
285	0.2829720262
286	0.2827408474
287	0.2825076807
288	0.2822502305
289	0.282107913
290	0.2819399506
291	0.2816707931
292	0.2815180355
293	0.2812964751
294	0.281134574
295	0.280962467
296	0.2807212094
297	0.2804802275
298	0.2803096316
299	0.2801415876
300	0.2799594056
301	0.2797035879
302	0.2794981897
303	0.2793085028
304	0.2791161527
305	0.2788193216
306	0.2786064354
307	0.2783538753
308	0.2781275792
309	0.2778617834
310	0.2776141823
311	0.2774250112
312	0.2772063421
313	0.2770616663
314	0.2767871075
315	0.2766357234
316	0.2764670011
317	0.2762374285
318	0.2760373586
319	0.2758187774
320	0.2756524775
321	0.2754596195
322	0.275283733
323	0.2750611256
324	0.2748720815
325	0.2746079596
326	0.2743940949
327	0.2741991144
328	0.2740482156
329	0.2738493291
330	0.2736635485
331	0.2735464111
332	0.2733344507
333	0.2731209612
334	0.2728654454
335	0.2726361854
336	0.2724219949
337	0.2722226281
338	0.2720070716
339	0.271798876
340	0.2715713529
341	0.2713126544
342	0.2711304195
343	0.2709162929
344	0.2707795511
345	0.2705553294
346	0.2704012242
347	0.2702129855
348	0.2699950684
349	0.2697485676
350	0.2695584672
351	0.2693628331
352	0.2691813638
353	0.2690471609
354	0.2688281769
355	0.2686232441
356	0.2684006829
357	0.2682519371
358	0.2680840031
359	0.2679068567
360	0.2677166989
361	0.2675308146
362	0.2673345974
363	0.2671752247
364	0.2669772465
365	0.2668175552
366	0.2665326565
367	0.2664310848
368	0.266238136
369	0.2660054707
370	0.2658199459
371	0.265657703
372	0.2655037471
373	0.2653694671
374	0.2651943937
375	0.2650567072
376	0.264855261
377	0.2646097113
378	0.2643602167
379	0.2641735665
380	0.2639948499
381	0.2637959819
382	0.2636382678
383	0.2632945334
384	0.2630819181
385	0.2629463938
386	0.2627257102
387	0.2624998915
388	0.2622960521
389	0.2620994654
390	0.2620202466
391	0.2619015449
392	0.261731964
393	0.2615501467
394	0.2613811083
395	0.2611947932
396	0.2610311676
397	0.2608874025
398	0.2607172893
399	0.2604934727
400	0.2603538388
401	0.2601840707
402	0.2600669609
403	0.2599141861
404	0.2597640456
405	0.2595909859
406	0.2593419012
407	0.2591253692
408	0.2589867371
409	0.2588649702
410	0.2586869657
411	0.2585631782
412	0.2584161817
413	0.2582036224
